label	story
0	As an Agency user, I want to better understand my file-level errors.
0	As a visitor, I want to see the embargo status and release date clearly displayed and perhaps highlighted in some way.
0	As a DAMS manager, I want to know all the uses for an object or object component that are permitted or restricted per the rights status of the object or object component.
1	Information on the links that an individual has clicked.
0	To deliver goods and services
1	As an OlderPerson, I want to use ALFRED to learn about all the social activities that are organized in my neighborhood.
1	As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.
1	As a DB/IR administrator, I want to set up or delete accounts for other administrators with various levels of permission.
0	As a data manager, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.
0	As a site administrator, I want to set the annual fees for members, Practitioners and Trainers, so that fees can be set without involving a programmer.
0	As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record
1	As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.
1	As a site admin, I want to move people in a trainer's class from a pending state to the registry once I have received proof of payment from the trainer.
1	As a depositor, I want to link datasets with the project DMP, so that compliance with DMP can be demonstrated and whole project workflow is linked together.
0	As an NSF employee, I want to learn about how Github is used, so that I can participate in the issues as assigned.
1	As a FABS user, I want to have my validations run in a reasonable amount of time.
1	As a Researcher, I want results to be stored in a non-identifiable way, so that I can study the data to see things like whether estimates converged around the first opinion given by "estimator A" for example.
1	As a website user, I want to see updated financial assistance data daily.
0	As an app developer, I want to share a dataset type across multiple applications that include the dataset type's code in their artifacts.
0	Research conducted in a commercial setting e.g. in a company
1	As a user, I want to be able to view the safe disposal events currently being organised around my area.
0	As a Developer , I want to develop a custom importer.
1	As a DB/IR administrator, I want to see list of subscribers for specified report in order research missing report complaints.
1	As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it.
0	As an OlderPerson, I want to have the ALFRED shirt has to be non stigmatizing.
0	A legally binding agreement
0	As a user, I want to attach multiple files at once to a log book page.
1	As a data scientist, I want to be able to create a dataset instance of an existing dataset type without writing code.
0	As a repository manager, I want to indicate all other pertinent versions or descriptions of a resource that are external to the DAMS.
