EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:25:32	0.1000	0.9608	0.6806	0.6194	0.6194	0.6194	0.6194
2	10:25:49	0.1000	0.7384	0.6704	0.6194	0.6194	0.6194	0.6194
3	10:26:04	0.1000	0.7457	0.7503	0.3806	0.3806	0.3806	0.3806
4	10:26:19	0.1000	0.7620	0.6651	0.6194	0.6194	0.6194	0.6194
5	10:26:33	0.1000	0.6902	0.6729	0.6194	0.6194	0.6194	0.6194
6	10:26:47	0.1000	0.6948	0.6662	0.6194	0.6194	0.6194	0.6194
7	10:27:02	0.1000	0.6847	0.6703	0.6194	0.6194	0.6194	0.6194
8	10:27:16	0.1000	0.6823	0.6691	0.6194	0.6194	0.6194	0.6194
9	10:27:31	0.1000	0.6843	0.6650	0.6194	0.6194	0.6194	0.6194
10	10:27:45	0.1000	0.6921	0.6654	0.6194	0.6194	0.6194	0.6194
11	10:28:00	0.1000	0.6791	0.6668	0.6194	0.6194	0.6194	0.6194
12	10:28:14	0.1000	0.6870	0.6646	0.6194	0.6194	0.6194	0.6194
13	10:28:29	0.1000	0.6901	0.6915	0.6194	0.6194	0.6194	0.6194
14	10:28:43	0.1000	0.6856	0.6707	0.6194	0.6194	0.6194	0.6194
15	10:28:57	0.1000	0.6880	0.6646	0.6194	0.6194	0.6194	0.6194
16	10:29:12	0.1000	0.6942	0.6723	0.6194	0.6194	0.6194	0.6194
17	10:29:27	0.1000	0.6914	0.6766	0.6194	0.6194	0.6194	0.6194
18	10:29:41	0.0500	0.6799	0.6646	0.6194	0.6194	0.6194	0.6194
19	10:29:56	0.0500	0.6776	0.6737	0.6194	0.6194	0.6194	0.6194
20	10:30:11	0.0500	0.6799	0.6669	0.6194	0.6194	0.6194	0.6194
21	10:30:25	0.0500	0.6777	0.6644	0.6194	0.6194	0.6194	0.6194
22	10:30:40	0.0500	0.6787	0.6665	0.6194	0.6194	0.6194	0.6194
23	10:30:55	0.0500	0.6741	0.6665	0.6194	0.6194	0.6194	0.6194
24	10:31:09	0.0500	0.6792	0.6685	0.6194	0.6194	0.6194	0.6194
25	10:31:24	0.0500	0.6805	0.6659	0.6194	0.6194	0.6194	0.6194
26	10:31:39	0.0500	0.6751	0.6657	0.6194	0.6194	0.6194	0.6194
27	10:31:53	0.0250	0.6740	0.6644	0.6194	0.6194	0.6194	0.6194
28	10:32:08	0.0250	0.6752	0.6690	0.6194	0.6194	0.6194	0.6194
29	10:32:23	0.0250	0.6758	0.6651	0.6194	0.6194	0.6194	0.6194
30	10:32:37	0.0250	0.6736	0.6660	0.6194	0.6194	0.6194	0.6194
31	10:32:52	0.0250	0.6754	0.6648	0.6194	0.6194	0.6194	0.6194
32	10:33:07	0.0250	0.6754	0.6681	0.6194	0.6194	0.6194	0.6194
33	10:33:22	0.0125	0.6742	0.6646	0.6194	0.6194	0.6194	0.6194
34	10:33:37	0.0125	0.6730	0.6651	0.6194	0.6194	0.6194	0.6194
35	10:33:52	0.0125	0.6732	0.6644	0.6194	0.6194	0.6194	0.6194
36	10:34:07	0.0125	0.6720	0.6644	0.6194	0.6194	0.6194	0.6194
37	10:34:21	0.0125	0.6732	0.6663	0.6194	0.6194	0.6194	0.6194
38	10:34:36	0.0063	0.6718	0.6652	0.6194	0.6194	0.6194	0.6194
39	10:34:51	0.0063	0.6717	0.6646	0.6194	0.6194	0.6194	0.6194
40	10:35:06	0.0063	0.6722	0.6655	0.6194	0.6194	0.6194	0.6194
41	10:35:21	0.0063	0.6722	0.6659	0.6194	0.6194	0.6194	0.6194
42	10:35:35	0.0063	0.6715	0.6644	0.6194	0.6194	0.6194	0.6194
43	10:35:50	0.0063	0.6722	0.6649	0.6194	0.6194	0.6194	0.6194
44	10:36:05	0.0063	0.6722	0.6648	0.6194	0.6194	0.6194	0.6194
45	10:36:20	0.0063	0.6717	0.6644	0.6194	0.6194	0.6194	0.6194
46	10:36:34	0.0063	0.6717	0.6644	0.6194	0.6194	0.6194	0.6194
47	10:36:49	0.0063	0.6717	0.6644	0.6194	0.6194	0.6194	0.6194
48	10:37:04	0.0031	0.6715	0.6646	0.6194	0.6194	0.6194	0.6194
49	10:37:19	0.0031	0.6712	0.6644	0.6194	0.6194	0.6194	0.6194
50	10:37:34	0.0031	0.6715	0.6649	0.6194	0.6194	0.6194	0.6194
51	10:37:49	0.0031	0.6715	0.6648	0.6194	0.6194	0.6194	0.6194
52	10:38:03	0.0031	0.6713	0.6645	0.6194	0.6194	0.6194	0.6194
53	10:38:18	0.0016	0.6711	0.6648	0.6194	0.6194	0.6194	0.6194
54	10:38:33	0.0016	0.6712	0.6647	0.6194	0.6194	0.6194	0.6194
55	10:38:47	0.0016	0.6713	0.6648	0.6194	0.6194	0.6194	0.6194
56	10:39:02	0.0016	0.6712	0.6649	0.6194	0.6194	0.6194	0.6194
57	10:39:17	0.0016	0.6712	0.6648	0.6194	0.6194	0.6194	0.6194
58	10:39:32	0.0008	0.6710	0.6647	0.6194	0.6194	0.6194	0.6194
59	10:39:47	0.0008	0.6710	0.6646	0.6194	0.6194	0.6194	0.6194
60	10:40:02	0.0008	0.6710	0.6647	0.6194	0.6194	0.6194	0.6194
61	10:40:17	0.0008	0.6711	0.6646	0.6194	0.6194	0.6194	0.6194
62	10:40:32	0.0008	0.6711	0.6647	0.6194	0.6194	0.6194	0.6194
63	10:40:46	0.0004	0.6710	0.6647	0.6194	0.6194	0.6194	0.6194
64	10:41:01	0.0004	0.6710	0.6647	0.6194	0.6194	0.6194	0.6194
65	10:41:16	0.0004	0.6709	0.6647	0.6194	0.6194	0.6194	0.6194
66	10:41:31	0.0004	0.6710	0.6647	0.6194	0.619
