EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:36:00	0	0.1000	0.03559320976814604	0.023538682609796524	0.5871	0.5871	0.5871	0.5871
2	21:36:20	0	0.1000	0.021845167391777724	0.022617656737565994	0.5935	0.5935	0.5935	0.5935
3	21:36:41	1	0.1000	0.021731206691273663	0.024136127904057503	0.4129	0.4129	0.4129	0.4129
4	21:36:55	0	0.1000	0.020865734091612905	0.02154802717268467	0.6452	0.6452	0.6452	0.6452
5	21:37:16	0	0.1000	0.020503174270217743	0.020976781845092773	0.7097	0.7097	0.7097	0.7097
6	21:37:36	0	0.1000	0.01934304897595205	0.019365660846233368	0.7484	0.7484	0.7484	0.7484
7	21:37:57	0	0.1000	0.01941957526384971	0.01881767064332962	0.7871	0.7871	0.7871	0.7871
8	21:38:18	1	0.1000	0.018700085072233277	0.0184739101678133	0.7806	0.7806	0.7806	0.7806
9	21:38:32	2	0.1000	0.018590590034725848	0.017647860571742058	0.7613	0.7613	0.7613	0.7613
10	21:38:46	3	0.1000	0.018071950765624803	0.01704663597047329	0.7677	0.7677	0.7677	0.7677
11	21:39:00	4	0.1000	0.018021241269005516	0.01738390512764454	0.7613	0.7613	0.7613	0.7613
12	21:39:13	5	0.1000	0.017388024051156904	0.017923038452863693	0.729	0.729	0.729	0.729
13	21:39:27	6	0.1000	0.01705495862334389	0.01949894055724144	0.6645	0.6645	0.6645	0.6645
14	21:39:41	1	0.0500	0.01577631317276965	0.017377274110913277	0.7484	0.7484	0.7484	0.7484
15	21:39:55	2	0.0500	0.015225786060544115	0.016317952424287796	0.7548	0.7548	0.7548	0.7548
16	21:40:08	3	0.0500	0.015686138490935666	0.01676255464553833	0.7548	0.7548	0.7548	0.7548
17	21:40:22	4	0.0500	0.01514378866101886	0.016178473830223083	0.7548	0.7548	0.7548	0.7548
18	21:40:36	5	0.0500	0.015117083961640172	0.01794157363474369	0.7032	0.7032	0.7032	0.7032
19	21:40:49	6	0.0500	0.014927131061663493	0.016309402883052826	0.7548	0.7548	0.7548	0.7548
20	21:41:03	1	0.0250	0.014414534956880037	0.016033485531806946	0.7677	0.7677	0.7677	0.7677
21	21:41:17	0	0.0250	0.01415591107712148	0.01634562946856022	0.8129	0.8129	0.8129	0.8129
22	21:41:38	1	0.0250	0.013942604773522108	0.01571359671652317	0.7935	0.7935	0.7935	0.7935
23	21:41:51	2	0.0250	0.013960098137722029	0.015959059819579124	0.7613	0.7613	0.7613	0.7613
24	21:42:05	3	0.0250	0.012983344072758167	0.016054591163992882	0.7613	0.7613	0.7613	0.7613
25	21:42:19	4	0.0250	0.013960500051884539	0.016019850969314575	0.7742	0.7742	0.7742	0.7742
26	21:42:33	5	0.0250	0.013303633482440803	0.015843676403164864	0.7935	0.7935	0.7935	0.7935
27	21:42:46	6	0.0250	0.013158744453784808	0.015766721218824387	0.7935	0.7935	0.7935	0.7935
28	21:43:00	1	0.0125	0.012405354494853407	0.015658805146813393	0.7806	0.7806	0.7806	0.7806
29	21:43:14	2	0.0125	0.01278206463221244	0.015981633216142654	0.7613	0.7613	0.7613	0.7613
30	21:43:28	0	0.0125	0.013235962099936568	0.015611139126121998	0.8258	0.8258	0.8258	0.8258
31	21:43:48	1	0.0125	0.013257970259246087	0.01577869802713394	0.8194	0.8194	0.8194	0.8194
32	21:44:02	2	0.0125	0.012858405719963835	0.01584193855524063	0.7742	0.7742	0.7742	0.7742
33	21:44:15	3	0.0125	0.012314301414705402	0.015772145241498947	0.8129	0.8129	0.8129	0.8129
34	21:44:29	4	0.0125	0.012376444573378442	0.015934472903609276	0.7613	0.7613	0.7613	0.7613
35	21:44:43	5	0.0125	0.012171310695571516	0.015796739608049393	0.7677	0.7677	0.7677	0.7677
36	21:44:56	6	0.0125	0.012166337515926155	0.015589752234518528	0.8065	0.8065	0.8065	0.8065
37	21:45:10	1	0.0063	0.011985142872390008	0.015723848715424538	0.7742	0.7742	0.7742	0.7742
38	21:45:24	2	0.0063	0.012386574506845221	0.015701014548540115	0.7806	0.7806	0.7806	0.7806
39	21:45:37	3	0.0063	0.012317661599811682	0.015584811568260193	0.8065	0.8065	0.8065	0.8065
40	21:45:51	4	0.0063	0.01131699872333543	0.015795931220054626	0.7742	0.7742	0.7742	0.7742
