EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	04:26:28	0	0.1000	0.044103663727609016	0.02354004979133606	0.6323	0.6323	0.6323	0.6323
2	04:26:32	0	0.1000	0.021911187515957102	0.022315362468361855	0.6774	0.6774	0.6774	0.6774
3	04:26:35	0	0.1000	0.021001838195777504	0.020419040694832802	0.7032	0.7032	0.7032	0.7032
4	04:26:39	1	0.1000	0.02066062458196477	0.020620670169591904	0.6774	0.6774	0.6774	0.6774
5	04:26:40	2	0.1000	0.019928675500591797	0.02144947089254856	0.7032	0.7032	0.7032	0.7032
6	04:26:41	0	0.1000	0.019349945785326658	0.018677866086363792	0.7419	0.7419	0.7419	0.7419
7	04:26:45	0	0.1000	0.019306280612089784	0.018348542973399162	0.7484	0.7484	0.7484	0.7484
8	04:26:48	1	0.1000	0.018987896326028094	0.019030733034014702	0.729	0.729	0.729	0.729
9	04:26:50	2	0.1000	0.01860917038140499	0.017917582765221596	0.7161	0.7161	0.7161	0.7161
10	04:26:51	0	0.1000	0.017921055681142377	0.017794514074921608	0.7484	0.7484	0.7484	0.7484
11	04:26:52	1	0.1000	0.017845853831557516	0.01838800124824047	0.7355	0.7355	0.7355	0.7355
12	04:26:54	2	0.1000	0.017959876661239042	0.0172592643648386	0.7419	0.7419	0.7419	0.7419
13	04:26:55	3	0.1000	0.01702688721042696	0.017622269690036774	0.7161	0.7161	0.7161	0.7161
14	04:26:57	4	0.1000	0.01751854211327333	0.017805762588977814	0.7161	0.7161	0.7161	0.7161
15	04:26:58	5	0.1000	0.01704658466282288	0.017634859308600426	0.7161	0.7161	0.7161	0.7161
16	04:26:59	0	0.1000	0.017136884501574284	0.017051653936505318	0.7484	0.7484	0.7484	0.7484
17	04:27:01	0	0.1000	0.016685546770937906	0.017155803740024567	0.7613	0.7613	0.7613	0.7613
