EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:03:59	0	0.1000	0.04233405445431602	0.026125073432922363	0.5484	0.5484	0.5484	0.5484
2	23:04:17	0	0.1000	0.02215975796842609	0.024130109697580338	0.5484	0.5484	0.5484	0.5484
3	23:04:29	1	0.1000	0.022062361497119102	0.025162214413285255	0.5484	0.5484	0.5484	0.5484
4	23:04:42	2	0.1000	0.021867520802327393	0.025093160569667816	0.5484	0.5484	0.5484	0.5484
5	23:04:55	0	0.1000	0.021742022388373358	0.023849671706557274	0.5484	0.5484	0.5484	0.5484
6	23:05:07	0	0.1000	0.021423537227975662	0.023720633238554	0.5484	0.5484	0.5484	0.5484
7	23:05:20	0	0.1000	0.021615690407954954	0.023311549797654152	0.5484	0.5484	0.5484	0.5484
8	23:05:33	1	0.1000	0.02168725652396893	0.023761071264743805	0.5484	0.5484	0.5484	0.5484
9	23:05:45	2	0.1000	0.02150269373663021	0.023833082988858223	0.5484	0.5484	0.5484	0.5484
10	23:05:58	0	0.1000	0.02139849773603468	0.02314683049917221	0.5484	0.5484	0.5484	0.5484
11	23:06:11	1	0.1000	0.02151494858851984	0.023500515148043633	0.5484	0.5484	0.5484	0.5484
12	23:06:24	2	0.1000	0.02159324363248432	0.023371459916234016	0.5484	0.5484	0.5484	0.5484
13	23:06:36	0	0.1000	0.021446044720597003	0.02297392673790455	0.5484	0.5484	0.5484	0.5484
14	23:06:49	1	0.1000	0.021302809282249455	0.02322390303015709	0.5484	0.5484	0.5484	0.5484
15	23:07:02	2	0.1000	0.021374698645419896	0.0230505783110857	0.5484	0.5484	0.5484	0.5484
16	23:07:14	3	0.1000	0.02150852570667253	0.023554053157567978	0.5484	0.5484	0.5484	0.5484
17	23:07:27	4	0.1000	0.021256869676210686	0.022987479344010353	0.5484	0.5484	0.5484	0.5484
18	23:07:40	0	0.1000	0.021350745836437306	0.02281147427856922	0.5484	0.5484	0.5484	0.5484
19	23:07:52	1	0.1000	0.021437676921647313	0.02317267842590809	0.5484	0.5484	0.5484	0.5484
20	23:08:05	2	0.1000	0.021355227780530374	0.02284133993089199	0.5484	0.5484	0.5484	0.5484
21	23:08:18	3	0.1000	0.021385805605130495	0.023167483508586884	0.5484	0.5484	0.5484	0.5484
22	23:08:31	4	0.1000	0.021300767962229142	0.022963594645261765	0.5484	0.5484	0.5484	0.5484
23	23:08:43	5	0.1000	0.02137454263785719	0.02288680709898472	0.5484	0.5484	0.5484	0.5484
24	23:08:56	6	0.1000	0.021244266952273664	0.023189883679151535	0.5484	0.5484	0.5484	0.5484
25	23:09:09	0	0.0500	0.021345318561822327	0.022804271429777145	0.5484	0.5484	0.5484	0.5484
26	23:09:21	0	0.0500	0.02118112667806698	0.022748161107301712	0.5484	0.5484	0.5484	0.5484
27	23:09:34	1	0.0500	0.02129565805132579	0.022753063589334488	0.5484	0.5484	0.5484	0.5484
28	23:09:47	2	0.0500	0.021312639341881528	0.022759629413485527	0.5484	0.5484	0.5484	0.5484
29	23:09:59	0	0.0500	0.021292206244937655	0.022713659331202507	0.5484	0.5484	0.5484	0.5484
30	23:10:12	0	0.0500	0.021244727230208944	0.022630125284194946	0.5484	0.5484	0.5484	0.5484
31	23:10:25	0	0.0500	0.021217801120755317	0.022618627175688744	0.5484	0.5484	0.5484	0.5484
32	23:10:38	1	0.0500	0.02128878999595067	0.022743364796042442	0.5484	0.5484	0.5484	0.5484
33	23:10:50	2	0.0500	0.021168607862750488	0.022677747532725334	0.5484	0.5484	0.5484	0.5484
34	23:11:03	3	0.0500	0.021210338687691344	0.022854581475257874	0.5484	0.5484	0.5484	0.5484
35	23:11:16	4	0.0500	0.021160567953530097	0.022802229970693588	0.5484	0.5484	0.5484	0.5484
36	23:11:29	5	0.0500	0.021318006498387453	0.02265164814889431	0.5484	0.5484	0.5484	0.5484
37	23:11:42	0	0.0500	0.02117749580101238	0.022570593282580376	0.5484	0.5484	0.5484	0.5484
38	23:11:54	1	0.0500	0.021242432558356818	0.02272769995033741	0.5484	0.5484	0.5484	0.5484
39	23:12:07	2	0.0500	0.02122973223341855	0.02268148772418499	0.5484	0.5484	0.5484	0.5484
40	23:12:20	3	0.0500	0.021154820662304726	0.022585254162549973	0.5484	0.5484	0.5484	0.5484
41	23:12:32	4	0.0500	0.021192335474859103	0.022666191682219505	0.5484	0.5484	0.5484	0.5484
42	23:12:45	5	0.0500	0.021153784534183238	0.022740816697478294	0.5484	0.5484	0.5484	0.5484
43	23:12:57	6	0.0500	0.021166321791424993	0.022637704387307167	0.5484	0.5484	0.5484	0.5484
44	23:13:10	1	0.0250	0.0212314217876207	0.022604292258620262	0.5484	0.5484	0.5484	0.5484
45	23:13:23	0	0.0250	0.021211389107235197	0.022541208192706108	0.5484	0.5484	0.5484	0.5484
46	23:13:35	0	0.0250	0.021174053493713357	0.02252650074660778	0.5484	0.5484	0.5484	0.5484
47	23:13:48	1	0.0250	0.021202306223702963	0.022534824907779694	0.5484	0.5484	0.5484	0.5484
48	23:14:01	2	0.0250	0.021142849114329714	0.022535620257258415	0.5484	0.5484	0.5484	0.5484
49	23:14:13	3	0.0250	0.02120811444602249	0.02253126911818981	0.5484	0.5484	0.5484	0.5484
50	23:14:26	4	0.0250	0.02118704165816735	0.0225756224244833	0.5484	0.5484	0.5484	0.5484
51	23:14:38	0	0.0250	0.02107657469696735	0.022513745352625847	0.5484	0.5484	0.5484	0.5484
52	23:14:51	1	0.0250	0.021169811423014842	0.02253936231136322	0.5484	0.5484	0.5484	0.5484
53	23:15:04	2	0.0250	0.02118020068803282	0.022544359788298607	0.5484	0.5484	0.5484	0.5484
54	23:15:16	3	0.0250	0.021064483212295062	0.022548401728272438	0.5484	0.5484	0.5484	0.5484
55	23:15:29	4	0.0250	0.021192076646075007	0.022544709965586662	0.5484	0.5484	0.5484	0.5484
56	23:15:41	5	0.0250	0.02114163382996438	0.022515151649713516	0.5484	0.5484	0.5484	0.5484
57	23:15:54	6	0.0250	0.021187160439570002	0.022568581625819206	0.5484	0.5484	0.5484	0.5484
58	23:16:07	1	0.0125	0.02119042175071152	0.02254898101091385	0.5484	0.5484	0.5484	0.5484
59	23:16:20	2	0.0125	0.021083303004481857	0.022539999336004257	0.5484	0.5484	0.5484	0.5484
60	23:16:32	0	0.0125	0.0211358096046749	0.02251243218779564	0.5484	0.5484	0.5484	0.5484
61	23:16:45	0	0.0125	0.02112226078001955	0.022499622777104378	0.5484	0.5484	0.5484	0.5484
62	23:16:58	0	0.0125	0.021069936288489938	0.022489121183753014	0.5484	0.5484	0.5484	0.5484
63	23:17:10	1	0.0125	0.021148374332255453	0.02250538393855095	0.5484	0.5484	0.5484	0.5484
64	23:17:23	2	0.0125	0.02111883323481848	0.022497795522212982	0.5484	0.5484	0.5484	0.5484
65	23:17:36	3	0.0125	0.021185365710768525	0.02249988168478012	0.5484	0.5484	0.5484	0.5484
66	23:17:48	0	0.0125	0.021077733970937845	0.022472161799669266	0.5484	0.5484	0.5484	0.5484
67	23:18:01	0	0.0125	0.02103687205591907	0.022458747029304504	0.5484	0.5484	0.5484	0.5484
68	23:18:14	0	0.0125	0.020994076905110202	0.02244311198592186	0.5484	0.5484	0.5484	0.5484
69	23:18:26	1	0.0125	0.02112479339977519	0.022456437349319458	0.5484	0.5484	0.5484	0.5484
70	23:18:39	2	0.0125	0.02114796976519418	0.022472990676760674	0.5484	0.5484	0.5484	0.5484
71	23:18:52	3	0.0125	0.021158814858123712	0.022482726722955704	0.5484	0.5484	0.5484	0.5484
72	23:19:04	4	0.0125	0.021108897872221016	0.022494126111268997	0.5484	0.5484	0.5484	0.5484
73	23:19:17	5	0.0125	0.021121960446206425	0.02248154953122139	0.5484	0.5484	0.5484	0.5484
74	23:19:29	6	0.0125	0.021078558466199996	0.022475888952612877	0.5484	0.5484	0.5484	0.5484
75	23:19:42	1	0.0063	0.02109632544267631	0.02247719280421734	0.5484	0.5484	0.5484	0.5484
76	23:19:55	2	0.0063	0.021105916784208454	0.02246781624853611	0.5484	0.5484	0.5484	0.5484
77	23:20:07	3	0.0063	0.021100187164711934	0.022460490465164185	0.5484	0.5484	0.5484	0.5484
78	23:20:20	4	0.0063	0.02107839295954817	0.02245844341814518	0.5484	0.5484	0.5484	0.5484
79	23:20:33	5	0.0063	0.021139238690268798	0.022461792454123497	0.5484	0.5484	0.5484	0.5484
80	23:20:45	6	0.0063	0.0210937914536826	0.02246950753033161	0.5484	0.5484	0.5484	0.5484
81	23:20:58	1	0.0031	0.02108496102341969	0.02246648631989956	0.5484	0.5484	0.5484	0.5484
82	23:21:11	2	0.0031	0.021098430774576443	0.022463103756308556	0.5484	0.5484	0.5484	0.5484
83	23:21:23	3	0.0031	0.021087518974079643	0.022461863234639168	0.5484	0.5484	0.5484	0.5484
84	23:21:36	4	0.0031	0.021130110707457597	0.02245970442891121	0.5484	0.5484	0.5484	0.5484
85	23:21:49	5	0.0031	0.021099896971818275	0.022458424791693687	0.5484	0.5484	0.5484	0.5484
86	23:22:01	6	0.0031	0.02115869166948602	0.022461192682385445	0.5484	0.5484	0.5484	0.5484
87	23:22:14	1	0.0016	0.02113284567492691	0.022460073232650757	0.5484	0.5484	0.5484	0.5484
88	23:22:27	2	0.0016	0.021105900310562913	0.022458281368017197	0.5484	0.5484	0.5484	0.5484
89	23:22:39	3	0.0016	0.021132301317216336	0.02245655097067356	0.5484	0.5484	0.5484	0.5484
90	23:22:52	4	0.0016	0.021120842720053646	0.022455941885709763	0.5484	0.5484	0.5484	0.5484
91	23:23:05	5	0.0016	0.021116010678901315	0.022452855482697487	0.5484	0.5484	0.5484	0.5484
92	23:23:17	6	0.0016	0.02111073705847111	0.022453442215919495	0.5484	0.5484	0.5484	0.5484
93	23:23:30	1	0.0008	0.021078177561284137	0.022452618926763535	0.5484	0.5484	0.5484	0.5484
94	23:23:42	2	0.0008	0.021084535703843905	0.022452643141150475	0.5484	0.5484	0.5484	0.5484
95	23:23:55	3	0.0008	0.021067110437843668	0.022451812401413918	0.5484	0.5484	0.5484	0.5484
96	23:24:08	4	0.0008	0.02106691104254959	0.022450119256973267	0.5484	0.5484	0.5484	0.5484
97	23:24:20	5	0.0008	0.021088617060223844	0.022448254749178886	0.5484	0.5484	0.5484	0.5484
98	23:24:33	6	0.0008	0.021113534240695273	0.022448036819696426	0.5484	0.5484	0.5484	0.5484
99	23:24:46	1	0.0004	0.02103939586120463	0.022447649389505386	0.5484	0.5484	0.5484	0.5484
100	23:24:58	2	0.0004	0.02105711521386929	0.022446880117058754	0.5484	0.5484	0.5484	0.5484
101	23:25:11	3	0.0004	0.02109025492568882	0.022446908056735992	0.5484	0.5484	0.5484	0.5484
102	23:25:24	4	0.0004	0.021020056143649088	0.02244667522609234	0.5484	0.5484	0.5484	0.5484
103	23:25:36	5	0.0004	0.021112123540384	0.022446511313319206	0.5484	0.5484	0.5484	0.5484
104	23:25:49	6	0.0004	0.02111308136520331	0.022446146234869957	0.5484	0.5484	0.5484	0.5484
105	23:26:02	1	0.0002	0.02104305754611583	0.02244587428867817	0.5484	0.5484	0.5484	0.5484
106	23:26:14	2	0.0002	0.0210747561348657	0.022445879876613617	0.5484	0.5484	0.5484	0.5484
107	23:26:27	3	0.0002	0.02112894249065095	0.022445810958743095	0.5484	0.5484	0.5484	0.5484
108	23:26:40	4	0.0002	0.021098556787267658	0.02244582213461399	0.5484	0.5484	0.5484	0.5484
109	23:26:52	5	0.0002	0.02098715938600977	0.022445647045969963	0.5484	0.5484	0.5484	0.5484
110	23:27:05	6	0.0002	0.021062428670569622	0.022445494309067726	0.5484	0.5484	0.5484	0.5484
