EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:38:57	0	0.1000	0.02966267199971568	0.025119997560977936	0.5419	0.5419	0.5419	0.5419
2	13:39:12	0	0.1000	0.022733808419555534	0.023396162316203117	0.5419	0.5419	0.5419	0.5419
3	13:39:26	0	0.1000	0.02222494859106662	0.022436678409576416	0.5419	0.5419	0.5419	0.5419
4	13:39:39	1	0.1000	0.021524902949295537	0.022643953561782837	0.5419	0.5419	0.5419	0.5419
5	13:39:53	0	0.1000	0.021556398933599598	0.022325672209262848	0.5548	0.5548	0.5548	0.5548
6	13:40:08	0	0.1000	0.021331215709212523	0.021370546892285347	0.5935	0.5935	0.5935	0.5935
7	13:40:23	0	0.1000	0.021433412900350973	0.021332943812012672	0.6581	0.6581	0.6581	0.6581
8	13:40:38	1	0.1000	0.02109237095476138	0.021437278017401695	0.5871	0.5871	0.5871	0.5871
9	13:40:52	2	0.1000	0.021056460375761865	0.024123061448335648	0.5548	0.5548	0.5548	0.5548
10	13:41:06	3	0.1000	0.021005146809815505	0.0208852868527174	0.6323	0.6323	0.6323	0.6323
11	13:41:19	4	0.1000	0.020737619149282693	0.02082279697060585	0.6516	0.6516	0.6516	0.6516
12	13:41:33	5	0.1000	0.02058083082135427	0.026533575728535652	0.5548	0.5548	0.5548	0.5548
13	13:41:47	6	0.1000	0.020662908834770954	0.021246178075671196	0.6258	0.6258	0.6258	0.6258
14	13:42:01	1	0.0500	0.01990882907937263	0.023330213502049446	0.5935	0.5935	0.5935	0.5935
15	13:42:14	2	0.0500	0.019623986804391185	0.020917793735861778	0.6387	0.6387	0.6387	0.6387
16	13:42:28	3	0.0500	0.019527147142303476	0.020360970869660378	0.6516	0.6516	0.6516	0.6516
17	13:42:42	4	0.0500	0.01940059189050213	0.021614760160446167	0.6258	0.6258	0.6258	0.6258
18	13:42:56	0	0.0500	0.019646337433676025	0.01991499960422516	0.6581	0.6581	0.6581	0.6581
19	13:43:10	0	0.0500	0.019364050713187916	0.019801132380962372	0.6903	0.6903	0.6903	0.6903
20	13:43:25	1	0.0500	0.019739527798178207	0.01980145461857319	0.6581	0.6581	0.6581	0.6581
21	13:43:38	2	0.0500	0.019245311906674913	0.019484246149659157	0.6839	0.6839	0.6839	0.6839
22	13:43:52	3	0.0500	0.019383524487708338	0.020423879846930504	0.5935	0.5935	0.5935	0.5935
23	13:44:05	4	0.0500	0.019086089758075405	0.02023828960955143	0.6581	0.6581	0.6581	0.6581
24	13:44:19	5	0.0500	0.01961012987977553	0.022020798176527023	0.6258	0.6258	0.6258	0.6258
25	13:44:33	6	0.0500	0.019021591242491042	0.02122524566948414	0.6452	0.6452	0.6452	0.6452
26	13:44:47	1	0.0250	0.01880780440051181	0.01954531855881214	0.6645	0.6645	0.6645	0.6645
27	13:45:00	2	0.0250	0.0190193118248068	0.019393321126699448	0.6839	0.6839	0.6839	0.6839
28	13:45:14	3	0.0250	0.018799402777102896	0.020647447556257248	0.6581	0.6581	0.6581	0.6581
29	13:45:27	4	0.0250	0.01879679388650783	0.01986987516283989	0.6774	0.6774	0.6774	0.6774
30	13:45:41	5	0.0250	0.01873509967746447	0.019891202449798584	0.6774	0.6774	0.6774	0.6774
31	13:45:55	0	0.0250	0.01877974193043103	0.019212394952774048	0.6903	0.6903	0.6903	0.6903
32	13:46:08	1	0.0250	0.018859164991228167	0.019949207082390785	0.6774	0.6774	0.6774	0.6774
33	13:46:22	2	0.0250	0.018581364194181268	0.01965986378490925	0.6645	0.6645	0.6645	0.6645
34	13:46:36	3	0.0250	0.01876606510341039	0.020120641216635704	0.671	0.671	0.671	0.671
35	13:46:50	4	0.0250	0.01874363463043054	0.020128102973103523	0.671	0.671	0.671	0.671
36	13:47:04	5	0.0250	0.018857239008120984	0.019103625789284706	0.6774	0.6774	0.6774	0.6774
37	13:47:17	6	0.0250	0.0183920807660439	0.01904507726430893	0.6774	0.6774	0.6774	0.6774
38	13:47:31	1	0.0125	0.01845394026779564	0.020123964175581932	0.671	0.671	0.671	0.671
39	13:47:45	2	0.0125	0.018222833719513696	0.01930183544754982	0.6774	0.6774	0.6774	0.6774
40	13:47:59	3	0.0125	0.018350694967702575	0.019187485799193382	0.6774	0.6774	0.6774	0.6774
41	13:48:12	4	0.0125	0.018033682615399275	0.01908181421458721	0.6839	0.6839	0.6839	0.6839
42	13:48:26	0	0.0125	0.018190938559523265	0.01892905868589878	0.6903	0.6903	0.6903	0.6903
43	13:48:40	1	0.0125	0.01833876008963465	0.01981513574719429	0.6839	0.6839	0.6839	0.6839
44	13:48:54	2	0.0125	0.018066478541491276	0.02055392973124981	0.6645	0.6645	0.6645	0.6645
45	13:49:07	3	0.0125	0.018193676286863067	0.019403653219342232	0.6839	0.6839	0.6839	0.6839
46	13:49:21	4	0.0125	0.018248172389973175	0.0196659155189991	0.6839	0.6839	0.6839	0.6839
47	13:49:35	5	0.0125	0.018412886167376998	0.019424550235271454	0.6774	0.6774	0.6774	0.6774
48	13:49:48	6	0.0125	0.018242871320598517	0.018959172070026398	0.6645	0.6645	0.6645	0.6645
