EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:33:07	0	0.1000	0.02458303152701877	0.03451208397746086	0.6065	0.6065	0.6065	0.6065
2	01:33:10	0	0.1000	0.02221661570768774	0.021373597905039787	0.6065	0.6065	0.6065	0.6065
3	01:33:12	0	0.1000	0.02139541710013549	0.020497217774391174	0.7032	0.7032	0.7032	0.7032
4	01:33:15	1	0.1000	0.020965907741431616	0.020536847412586212	0.6323	0.6323	0.6323	0.6323
5	01:33:17	2	0.1000	0.021049953414139264	0.02090439945459366	0.6065	0.6065	0.6065	0.6065
6	01:33:19	3	0.1000	0.020954263312989486	0.019641881808638573	0.6968	0.6968	0.6968	0.6968
7	01:33:20	4	0.1000	0.020340361016650724	0.019745010882616043	0.671	0.671	0.671	0.671
8	01:33:22	5	0.1000	0.02064769732721059	0.02211604081094265	0.5484	0.5484	0.5484	0.5484
9	01:33:23	6	0.1000	0.0198047273208662	0.019465351477265358	0.6839	0.6839	0.6839	0.6839
10	01:33:25	1	0.0500	0.01992722395847619	0.018817074596881866	0.6839	0.6839	0.6839	0.6839
11	01:33:26	0	0.0500	0.019906998878747376	0.01874498836696148	0.7161	0.7161	0.7161	0.7161
12	01:33:30	1	0.0500	0.019298126136152675	0.02086000330746174	0.671	0.671	0.671	0.671
13	01:33:32	2	0.0500	0.01920909594479689	0.01916765607893467	0.6581	0.6581	0.6581	0.6581
14	01:33:33	3	0.0500	0.019706734867294486	0.02083667926490307	0.6065	0.6065	0.6065	0.6065
15	01:33:35	0	0.0500	0.01929325295367518	0.018511032685637474	0.7226	0.7226	0.7226	0.7226
16	01:33:38	1	0.0500	0.01925775470788412	0.018950199708342552	0.7032	0.7032	0.7032	0.7032
17	01:33:40	2	0.0500	0.019358060788697506	0.019308092072606087	0.6839	0.6839	0.6839	0.6839
18	01:33:41	3	0.0500	0.0191675631245177	0.019252337515354156	0.671	0.671	0.671	0.671
19	01:33:43	0	0.0500	0.019271517112284194	0.018505744636058807	0.7226	0.7226	0.7226	0.7226
20	01:33:44	1	0.0500	0.018832087602362046	0.018960274755954742	0.7032	0.7032	0.7032	0.7032
21	01:33:46	2	0.0500	0.01926603504675203	0.019005639478564262	0.6968	0.6968	0.6968	0.6968
22	01:33:48	3	0.0500	0.019118981145734164	0.019970543682575226	0.6452	0.6452	0.6452	0.6452
23	01:33:49	0	0.0500	0.019112680575356412	0.018368562683463097	0.729	0.729	0.729	0.729
24	01:33:53	1	0.0500	0.018879878867553962	0.020150212571024895	0.6387	0.6387	0.6387	0.6387
25	01:33:54	2	0.0500	0.018932682250098882	0.022406157106161118	0.6065	0.6065	0.6065	0.6065
26	01:33:56	3	0.0500	0.01914328392340995	0.019936367869377136	0.6968	0.6968	0.6968	0.6968
27	01:33:57	4	0.0500	0.019205202024272252	0.018501171842217445	0.7161	0.7161	0.7161	0.7161
28	01:33:59	5	0.0500	0.018862236235009964	0.018489209935069084	0.7161	0.7161	0.7161	0.7161
29	01:34:01	6	0.0500	0.018905040071922844	0.01977691799402237	0.6323	0.6323	0.6323	0.6323
30	01:34:02	1	0.0250	0.01867675582282593	0.01829317770898342	0.7161	0.7161	0.7161	0.7161
31	01:34:04	2	0.0250	0.018589530415613703	0.018298698589205742	0.7226	0.7226	0.7226	0.7226
32	01:34:05	3	0.0250	0.018210238611963442	0.019010046496987343	0.6516	0.6516	0.6516	0.6516
33	01:34:07	4	0.0250	0.018558624209214353	0.018400557339191437	0.6903	0.6903	0.6903	0.6903
