EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:16:39	0	0.1000	0.03156741296141077	0.02645169571042061	0.5935	0.5935	0.5935	0.5935
2	14:16:52	1	0.1000	0.022721402181281686	0.022804075852036476	0.4065	0.4065	0.4065	0.4065
3	14:17:05	0	0.1000	0.022043649489641704	0.02187802456319332	0.5935	0.5935	0.5935	0.5935
4	14:17:18	0	0.1000	0.02174611243085731	0.021870844066143036	0.5935	0.5935	0.5935	0.5935
5	14:17:30	1	0.1000	0.02187508438785386	0.023340459913015366	0.5935	0.5935	0.5935	0.5935
6	14:17:43	2	0.1000	0.021902840383944543	0.022472187876701355	0.5935	0.5935	0.5935	0.5935
7	14:17:55	3	0.1000	0.021741015741659084	0.0247116070240736	0.4065	0.4065	0.4065	0.4065
8	14:18:08	0	0.1000	0.021949068556906762	0.021854139864444733	0.5935	0.5935	0.5935	0.5935
9	14:18:21	0	0.1000	0.0217195116438116	0.021853007376194	0.5935	0.5935	0.5935	0.5935
10	14:18:33	0	0.1000	0.02165375492680612	0.02183353342115879	0.5935	0.5935	0.5935	0.5935
11	14:18:46	1	0.1000	0.021622071784773236	0.022027719765901566	0.5935	0.5935	0.5935	0.5935
12	14:18:59	2	0.1000	0.021618655321842803	0.02184228040277958	0.5935	0.5935	0.5935	0.5935
13	14:19:11	3	0.1000	0.021608841607490204	0.022158635780215263	0.5935	0.5935	0.5935	0.5935
14	14:19:24	4	0.1000	0.021612457294559958	0.022070590406656265	0.5935	0.5935	0.5935	0.5935
15	14:19:36	5	0.1000	0.021643971977521426	0.021981216967105865	0.5935	0.5935	0.5935	0.5935
16	14:19:49	6	0.1000	0.021662551168905943	0.02318212203681469	0.4065	0.4065	0.4065	0.4065
17	14:20:01	1	0.0500	0.02141264998818676	0.021869955584406853	0.5935	0.5935	0.5935	0.5935
18	14:20:14	0	0.0500	0.021314859646990928	0.021824119612574577	0.5935	0.5935	0.5935	0.5935
19	14:20:27	1	0.0500	0.0214546505102389	0.021872323006391525	0.5935	0.5935	0.5935	0.5935
20	14:20:39	0	0.0500	0.0214121305334936	0.02181416191160679	0.5935	0.5935	0.5935	0.5935
21	14:20:52	1	0.0500	0.021224257463357984	0.022257205098867416	0.5935	0.5935	0.5935	0.5935
22	14:21:05	2	0.0500	0.021416022293189407	0.021874375641345978	0.5935	0.5935	0.5935	0.5935
23	14:21:17	0	0.0500	0.021428071545424945	0.02180183120071888	0.5935	0.5935	0.5935	0.5935
24	14:21:30	1	0.0500	0.021344406948787913	0.021812647581100464	0.5935	0.5935	0.5935	0.5935
25	14:21:42	2	0.0500	0.021275032062968675	0.022127017378807068	0.5935	0.5935	0.5935	0.5935
26	14:21:55	3	0.0500	0.021439469211493475	0.021861953660845757	0.5935	0.5935	0.5935	0.5935
27	14:22:07	4	0.0500	0.021321809514340786	0.02198457159101963	0.5935	0.5935	0.5935	0.5935
28	14:22:20	5	0.0500	0.021450948860691505	0.022051401436328888	0.5935	0.5935	0.5935	0.5935
29	14:22:32	6	0.0500	0.021335916260721354	0.022088076919317245	0.5935	0.5935	0.5935	0.5935
30	14:22:45	0	0.0250	0.02139840653194255	0.021798444911837578	0.5935	0.5935	0.5935	0.5935
31	14:22:57	0	0.0250	0.021367668848797646	0.02179674245417118	0.5935	0.5935	0.5935	0.5935
32	14:23:10	0	0.0250	0.02123056425949009	0.021795066073536873	0.5935	0.5935	0.5935	0.5935
33	14:23:22	1	0.0250	0.021291204347767937	0.021827947348356247	0.5935	0.5935	0.5935	0.5935
34	14:23:35	2	0.0250	0.02133841216778122	0.021850544959306717	0.5935	0.5935	0.5935	0.5935
35	14:23:48	3	0.0250	0.02131021613280549	0.021921245381236076	0.5935	0.5935	0.5935	0.5935
36	14:24:00	0	0.0250	0.02118442987933573	0.021791839972138405	0.5935	0.5935	0.5935	0.5935
37	14:24:13	1	0.0250	0.021282157620678508	0.021820558235049248	0.5935	0.5935	0.5935	0.5935
38	14:24:25	2	0.0250	0.021318258652135956	0.021832380443811417	0.5935	0.5935	0.5935	0.5935
39	14:24:38	3	0.0250	0.02125075649889955	0.021848730742931366	0.5935	0.5935	0.5935	0.5935
40	14:24:50	4	0.0250	0.021233066670430793	0.02182542160153389	0.5935	0.5935	0.5935	0.5935
41	14:25:03	0	0.0250	0.02125809719814128	0.02178770676255226	0.5935	0.5935	0.5935	0.5935
42	14:25:15	1	0.0250	0.02120226266481683	0.02193218655884266	0.5935	0.5935	0.5935	0.5935
43	14:25:28	2	0.0250	0.021198751125417848	0.021812450140714645	0.5935	0.5935	0.5935	0.5935
44	14:25:40	3	0.0250	0.021326693115864225	0.021895674988627434	0.5935	0.5935	0.5935	0.5935
45	14:25:53	4	0.0250	0.021199286839813102	0.02180478721857071	0.5935	0.5935	0.5935	0.5935
46	14:26:05	5	0.0250	0.021337556051677368	0.021838108077645302	0.5935	0.5935	0.5935	0.5935
47	14:26:18	6	0.0250	0.021316256826076248	0.021789131686091423	0.5935	0.5935	0.5935	0.5935
48	14:26:30	1	0.0125	0.02128241572205488	0.02179972641170025	0.5935	0.5935	0.5935	0.5935
49	14:26:43	2	0.0125	0.021265905834493753	0.021792223677039146	0.5935	0.5935	0.5935	0.5935
50	14:26:55	3	0.0125	0.021222568337042728	0.021797306835651398	0.5935	0.5935	0.5935	0.5935
51	14:27:08	4	0.0125	0.021216046014280517	0.021853338927030563	0.5935	0.5935	0.5935	0.5935
52	14:27:20	5	0.0125	0.021256528479198886	0.02180611714720726	0.5935	0.5935	0.5935	0.5935
53	14:27:33	0	0.0125	0.02123835073130129	0.02178565226495266	0.5935	0.5935	0.5935	0.5935
54	14:27:45	1	0.0125	0.021268620220603312	0.021788788959383965	0.5935	0.5935	0.5935	0.5935
55	14:27:58	2	0.0125	0.0212810953486676	0.021788418292999268	0.5935	0.5935	0.5935	0.5935
56	14:28:10	0	0.0125	0.021217508531695035	0.021783703938126564	0.5935	0.5935	0.5935	0.5935
57	14:28:23	0	0.0125	0.021237117090588068	0.0217836182564497	0.5935	0.5935	0.5935	0.5935
58	14:28:35	1	0.0125	0.02122780182168198	0.021790198981761932	0.5935	0.5935	0.5935	0.5935
59	14:28:47	2	0.0125	0.021159553476485602	0.02180595137178898	0.5935	0.5935	0.5935	0.5935
60	14:29:00	3	0.0125	0.021206497461438094	0.02178504876792431	0.5935	0.5935	0.5935	0.5935
61	14:29:13	0	0.0125	0.02121087358910149	0.02178324945271015	0.5935	0.5935	0.5935	0.5935
62	14:29:25	0	0.0125	0.021241620471814684	0.021782616153359413	0.5935	0.5935	0.5935	0.5935
63	14:29:38	1	0.0125	0.021206974255807608	0.021813170984387398	0.5935	0.5935	0.5935	0.5935
64	14:29:51	2	0.0125	0.021301223533408555	0.021783724427223206	0.5935	0.5935	0.5935	0.5935
65	14:30:03	0	0.0125	0.02121787056679873	0.021781861782073975	0.5935	0.5935	0.5935	0.5935
66	14:30:16	1	0.0125	0.0212200826564797	0.02178889513015747	0.5935	0.5935	0.5935	0.5935
67	14:30:29	2	0.0125	0.02125004967253412	0.02178511768579483	0.5935	0.5935	0.5935	0.5935
68	14:30:41	0	0.0125	0.02116372456074788	0.02178141102194786	0.5935	0.5935	0.5935	0.5935
69	14:30:54	1	0.0125	0.021179850462607487	0.02186257764697075	0.5935	0.5935	0.5935	0.5935
70	14:31:07	2	0.0125	0.021224757406408633	0.021888738498091698	0.5935	0.5935	0.5935	0.5935
71	14:31:19	3	0.0125	0.021284692337079948	0.021784480661153793	0.5935	0.5935	0.5935	0.5935
72	14:31:32	4	0.0125	0.021208731630082963	0.02184184268116951	0.5935	0.5935	0.5935	0.5935
73	14:31:45	5	0.0125	0.021307688005862267	0.021809320896863937	0.5935	0.5935	0.5935	0.5935
74	14:31:57	6	0.0125	0.02120234742921116	0.021782873198390007	0.5935	0.5935	0.5935	0.5935
75	14:32:10	1	0.0063	0.021218709139539795	0.021789565682411194	0.5935	0.5935	0.5935	0.5935
76	14:32:23	2	0.0063	0.021210001427238997	0.02178947441279888	0.5935	0.5935	0.5935	0.5935
77	14:32:35	3	0.0063	0.02118623812936316	0.021816574037075043	0.5935	0.5935	0.5935	0.5935
78	14:32:48	4	0.0063	0.021271960990341635	0.021788302809000015	0.5935	0.5935	0.5935	0.5935
79	14:33:01	5	0.0063	0.02115229758442689	0.021805770695209503	0.5935	0.5935	0.5935	0.5935
80	14:33:13	6	0.0063	0.02117053052973422	0.021817320957779884	0.5935	0.5935	0.5935	0.5935
81	14:33:26	1	0.0031	0.021160319907495808	0.02180892787873745	0.5935	0.5935	0.5935	0.5935
82	14:33:38	2	0.0031	0.021200991584000104	0.021794868633151054	0.5935	0.5935	0.5935	0.5935
83	14:33:51	3	0.0031	0.02116640711207229	0.021793503314256668	0.5935	0.5935	0.5935	0.5935
84	14:34:04	4	0.0031	0.021267920925047274	0.021788299083709717	0.5935	0.5935	0.5935	0.5935
85	14:34:16	5	0.0031	0.021238608190847316	0.021784018725156784	0.5935	0.5935	0.5935	0.5935
86	14:34:29	6	0.0031	0.02121004887989589	0.021796008571982384	0.5935	0.5935	0.5935	0.5935
87	14:34:42	1	0.0016	0.02116935837636812	0.02179725468158722	0.5935	0.5935	0.5935	0.5935
88	14:34:54	2	0.0016	0.021180137788658935	0.021794162690639496	0.5935	0.5935	0.5935	0.5935
89	14:35:07	3	0.0016	0.02110415324836178	0.021799646317958832	0.5935	0.5935	0.5935	0.5935
90	14:35:20	4	0.0016	0.02117032197766054	0.02179599739611149	0.5935	0.5935	0.5935	0.5935
91	14:35:32	5	0.0016	0.021121549589207766	0.02179728075861931	0.5935	0.5935	0.5935	0.5935
92	14:35:45	6	0.0016	0.021202506089672626	0.02179655432701111	0.5935	0.5935	0.5935	0.5935
93	14:35:57	1	0.0008	0.021231935123531234	0.021794194355607033	0.5935	0.5935	0.5935	0.5935
94	14:36:10	2	0.0008	0.02114597029251241	0.021794965490698814	0.5935	0.5935	0.5935	0.5935
95	14:36:23	3	0.0008	0.021177748425436464	0.021794268861413002	0.5935	0.5935	0.5935	0.5935
96	14:36:35	4	0.0008	0.021171212196350098	0.021794145926833153	0.5935	0.5935	0.5935	0.5935
97	14:36:48	5	0.0008	0.021184204211786163	0.021792247891426086	0.5935	0.5935	0.5935	0.5935
98	14:37:00	6	0.0008	0.021170667581907384	0.021791839972138405	0.5935	0.5935	0.5935	0.5935
99	14:37:13	1	0.0004	0.021192374968819712	0.021792206913232803	0.5935	0.5935	0.5935	0.5935
100	14:37:26	2	0.0004	0.02114608363975147	0.02179207280278206	0.5935	0.5935	0.5935	0.5935
101	14:37:38	3	0.0004	0.021169411092033852	0.02179202064871788	0.5935	0.5935	0.5935	0.5935
102	14:37:51	4	0.0004	0.02116189940918801	0.021792644634842873	0.5935	0.5935	0.5935	0.5935
103	14:38:04	5	0.0004	0.021185965094734076	0.021792512387037277	0.5935	0.5935	0.5935	0.5935
104	14:38:16	6	0.0004	0.021124830411991796	0.021792368963360786	0.5935	0.5935	0.5935	0.5935
105	14:38:29	1	0.0002	0.021176002133431748	0.02179265394806862	0.5935	0.5935	0.5935	0.5935
106	14:38:42	2	0.0002	0.021169699188281713	0.021792352199554443	0.5935	0.5935	0.5935	0.5935
107	14:38:54	3	0.0002	0.021238814689063888	0.021791944280266762	0.5935	0.5935	0.5935	0.5935
108	14:39:07	4	0.0002	0.02113350907077228	0.021791700273752213	0.5935	0.5935	0.5935	0.5935
