EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:26:46	0	0.1000	0.02351349328523562	0.043012835085392	0.6323	0.6323	0.6323	0.6323
2	18:27:03	0	0.1000	0.022970267832921037	0.03934125974774361	0.6323	0.6323	0.6323	0.6323
3	18:27:16	0	0.1000	0.022357517878785035	0.021267184987664223	0.6323	0.6323	0.6323	0.6323
4	18:27:29	1	0.1000	0.022016375978816265	0.021327538415789604	0.6323	0.6323	0.6323	0.6323
5	18:27:42	2	0.1000	0.021836613205295625	0.022183187305927277	0.6323	0.6323	0.6323	0.6323
6	18:27:54	3	0.1000	0.021598830209391115	0.021349405869841576	0.6323	0.6323	0.6323	0.6323
7	18:28:07	4	0.1000	0.021719992246374498	0.021372171118855476	0.6323	0.6323	0.6323	0.6323
8	18:28:20	5	0.1000	0.021493070218003403	0.02170621044933796	0.6323	0.6323	0.6323	0.6323
9	18:28:33	6	0.1000	0.0216097183477425	0.021547557786107063	0.6323	0.6323	0.6323	0.6323
10	18:28:46	1	0.0500	0.021544330469242378	0.02173580601811409	0.6323	0.6323	0.6323	0.6323
11	18:28:59	2	0.0500	0.021472793299776995	0.021302012726664543	0.6323	0.6323	0.6323	0.6323
12	18:29:11	0	0.0500	0.021420122177071992	0.021239645779132843	0.6323	0.6323	0.6323	0.6323
13	18:29:24	1	0.0500	0.021254110361976924	0.021493375301361084	0.6323	0.6323	0.6323	0.6323
14	18:29:37	2	0.0500	0.02132624374904482	0.021350370720028877	0.6323	0.6323	0.6323	0.6323
15	18:29:50	3	0.0500	0.021463021218819493	0.02132677473127842	0.6323	0.6323	0.6323	0.6323
16	18:30:03	0	0.0500	0.021414736664218177	0.02123507484793663	0.6323	0.6323	0.6323	0.6323
17	18:30:16	1	0.0500	0.02145090782633807	0.021265780553221703	0.6323	0.6323	0.6323	0.6323
18	18:30:28	2	0.0500	0.021464641712076443	0.021482566371560097	0.6323	0.6323	0.6323	0.6323
19	18:30:41	3	0.0500	0.02133720976281149	0.02130541391670704	0.6323	0.6323	0.6323	0.6323
20	18:30:54	4	0.0500	0.021437043905771645	0.021245503798127174	0.6323	0.6323	0.6323	0.6323
21	18:31:07	5	0.0500	0.021272145195650866	0.02274411916732788	0.3677	0.3677	0.3677	0.3677
22	18:31:20	6	0.0500	0.021535217077374373	0.021579716354608536	0.6323	0.6323	0.6323	0.6323
23	18:31:32	1	0.0250	0.021398990640345873	0.021257931366562843	0.6323	0.6323	0.6323	0.6323
24	18:31:45	0	0.0250	0.021274406492325017	0.021233530715107918	0.6323	0.6323	0.6323	0.6323
25	18:31:58	1	0.0250	0.021390906188099485	0.021250249817967415	0.6323	0.6323	0.6323	0.6323
26	18:32:11	2	0.0250	0.02129779859831756	0.021280797198414803	0.6323	0.6323	0.6323	0.6323
27	18:32:24	3	0.0250	0.02134162003584928	0.02123420685529709	0.6323	0.6323	0.6323	0.6323
28	18:32:37	4	0.0250	0.02137999960782283	0.021333757787942886	0.6323	0.6323	0.6323	0.6323
29	18:32:49	5	0.0250	0.021368103068420893	0.021319331601262093	0.6323	0.6323	0.6323	0.6323
30	18:33:02	0	0.0250	0.021323013759224175	0.021231768652796745	0.6323	0.6323	0.6323	0.6323
31	18:33:15	0	0.0250	0.0212564443566349	0.02123166248202324	0.6323	0.6323	0.6323	0.6323
32	18:33:28	1	0.0250	0.02130816030741936	0.021306119859218597	0.6323	0.6323	0.6323	0.6323
33	18:33:41	2	0.0250	0.021348417874984576	0.021474504843354225	0.6323	0.6323	0.6323	0.6323
34	18:33:54	0	0.0250	0.02131234422828855	0.021224593743681908	0.6323	0.6323	0.6323	0.6323
35	18:34:07	1	0.0250	0.021301498365162604	0.021626850590109825	0.6323	0.6323	0.6323	0.6323
36	18:34:19	2	0.0250	0.02127920319001964	0.02123098447918892	0.6323	0.6323	0.6323	0.6323
37	18:34:32	3	0.0250	0.02115337958202376	0.022006511688232422	0.6323	0.6323	0.6323	0.6323
38	18:34:45	4	0.0250	0.021406998671992427	0.021241892129182816	0.6323	0.6323	0.6323	0.6323
39	18:34:58	5	0.0250	0.02135184007159943	0.021343812346458435	0.6323	0.6323	0.6323	0.6323
40	18:35:11	6	0.0250	0.021302601200851364	0.021255329251289368	0.6323	0.6323	0.6323	0.6323
41	18:35:24	1	0.0125	0.02134107186994532	0.021242136135697365	0.6323	0.6323	0.6323	0.6323
42	18:35:36	2	0.0125	0.021262637548795812	0.021258361637592316	0.6323	0.6323	0.6323	0.6323
43	18:35:49	3	0.0125	0.02128872345953816	0.021340349689126015	0.6323	0.6323	0.6323	0.6323
44	18:36:02	4	0.0125	0.02127882870340724	0.02128528617322445	0.6323	0.6323	0.6323	0.6323
45	18:36:15	5	0.0125	0.02139474061095107	0.021307125687599182	0.6323	0.6323	0.6323	0.6323
46	18:36:28	6	0.0125	0.021234762642936406	0.0212881937623024	0.6323	0.6323	0.6323	0.6323
47	18:36:40	1	0.0063	0.021244159039198195	0.02127433381974697	0.6323	0.6323	0.6323	0.6323
48	18:36:53	2	0.0063	0.02124969752161775	0.02128155343234539	0.6323	0.6323	0.6323	0.6323
49	18:37:06	3	0.0063	0.02123893214401716	0.021292664110660553	0.6323	0.6323	0.6323	0.6323
50	18:37:19	4	0.0063	0.0212956521892753	0.02128676511347294	0.6323	0.6323	0.6323	0.6323
51	18:37:32	5	0.0063	0.021276539251775254	0.02126947231590748	0.6323	0.6323	0.6323	0.6323
52	18:37:45	6	0.0063	0.021314861872002794	0.021276475861668587	0.6323	0.6323	0.6323	0.6323
53	18:37:58	1	0.0031	0.021273317391805657	0.02128124050796032	0.6323	0.6323	0.6323	0.6323
54	18:38:10	2	0.0031	0.021249553537676852	0.021271517500281334	0.6323	0.6323	0.6323	0.6323
55	18:38:23	3	0.0031	0.021314270789043046	0.021277880296111107	0.6323	0.6323	0.6323	0.6323
56	18:38:36	4	0.0031	0.02122363882448206	0.021280912682414055	0.6323	0.6323	0.6323	0.6323
57	18:38:49	5	0.0031	0.021262016299809814	0.02127929963171482	0.6323	0.6323	0.6323	0.6323
58	18:39:02	6	0.0031	0.021300048812721073	0.021280715242028236	0.6323	0.6323	0.6323	0.6323
59	18:39:15	1	0.0016	0.02129295277920714	0.02128753252327442	0.6323	0.6323	0.6323	0.6323
60	18:39:28	2	0.0016	0.021336819658327344	0.02127673476934433	0.6323	0.6323	0.6323	0.6323
61	18:39:40	3	0.0016	0.02122709045971544	0.021280519664287567	0.6323	0.6323	0.6323	0.6323
62	18:39:53	4	0.0016	0.021276862648692135	0.021280014887452126	0.6323	0.6323	0.6323	0.6323
63	18:40:06	5	0.0016	0.021310420833897094	0.021281497552990913	0.6323	0.6323	0.6323	0.6323
64	18:40:19	6	0.0016	0.021217100926636794	0.021283278241753578	0.6323	0.6323	0.6323	0.6323
65	18:40:32	1	0.0008	0.021247459887089013	0.02128174714744091	0.6323	0.6323	0.6323	0.6323
66	18:40:44	2	0.0008	0.02126263023192987	0.021281471475958824	0.6323	0.6323	0.6323	0.6323
67	18:40:57	3	0.0008	0.02118723668901508	0.02128005586564541	0.6323	0.6323	0.6323	0.6323
68	18:41:10	4	0.0008	0.021249406686893745	0.021281545981764793	0.6323	0.6323	0.6323	0.6323
69	18:41:23	5	0.0008	0.021244112399526404	0.021279675886034966	0.6323	0.6323	0.6323	0.6323
70	18:41:36	6	0.0008	0.02118890082673554	0.02127864770591259	0.6323	0.6323	0.6323	0.6323
71	18:41:49	1	0.0004	0.02122757333007889	0.021279532462358475	0.6323	0.6323	0.6323	0.6323
72	18:42:02	2	0.0004	0.0213072022686566	0.021281875669956207	0.6323	0.6323	0.6323	0.6323
73	18:42:15	3	0.0004	0.021218014721894385	0.021282188594341278	0.6323	0.6323	0.6323	0.6323
74	18:42:28	4	0.0004	0.021257244505132604	0.021281741559505463	0.6323	0.6323	0.6323	0.6323
75	18:42:40	5	0.0004	0.021274149246722437	0.021281691268086433	0.6323	0.6323	0.6323	0.6323
76	18:42:53	6	0.0004	0.02125246197049428	0.021281668916344643	0.6323	0.6323	0.6323	0.6323
77	18:43:06	1	0.0002	0.02128143089757236	0.021281540393829346	0.6323	0.6323	0.6323	0.6323
78	18:43:19	2	0.0002	0.021216245495151977	0.021281667053699493	0.6323	0.6323	0.6323	0.6323
79	18:43:32	3	0.0002	0.021295154171715687	0.02128179557621479	0.6323	0.6323	0.6323	0.6323
80	18:43:44	4	0.0002	0.02121908499539027	0.021281739696860313	0.6323	0.6323	0.6323	0.6323
81	18:43:57	5	0.0002	0.021214684221441592	0.021281227469444275	0.6323	0.6323	0.6323	0.6323
82	18:44:10	6	0.0002	0.021233933783227903	0.021281706169247627	0.6323	0.6323	0.6323	0.6323
