EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:43:36	0	0.1000	0.024429522909368444	0.02254602685570717	0.6	0.6	0.6	0.6
2	13:43:56	1	0.1000	0.022140850801734897	0.036076467484235764	0.4	0.4	0.4	0.4
3	13:44:10	0	0.1000	0.022308158301143275	0.021931789815425873	0.6129	0.6129	0.6129	0.6129
4	13:44:30	1	0.1000	0.021663357436186276	0.02314325049519539	0.6	0.6	0.6	0.6
5	13:44:44	2	0.1000	0.02154120210255981	0.023408574983477592	0.4	0.4	0.4	0.4
6	13:44:58	3	0.1000	0.021572182055265888	0.022231033071875572	0.5613	0.5613	0.5613	0.5613
7	13:45:11	4	0.1000	0.021225177634130343	0.021992241963744164	0.6	0.6	0.6	0.6
8	13:45:25	5	0.1000	0.02152138888536386	0.021641341969370842	0.6	0.6	0.6	0.6
9	13:45:39	6	0.1000	0.021210335478539614	0.023358408361673355	0.4	0.4	0.4	0.4
10	13:45:53	0	0.0500	0.020772401369140034	0.020895270630717278	0.6129	0.6129	0.6129	0.6129
11	13:46:07	0	0.0500	0.020654051490422213	0.020716795697808266	0.6258	0.6258	0.6258	0.6258
12	13:46:28	1	0.0500	0.020386442766716733	0.020708313211798668	0.6129	0.6129	0.6129	0.6129
13	13:46:42	0	0.0500	0.020734396540511024	0.020478220656514168	0.6258	0.6258	0.6258	0.6258
14	13:46:55	0	0.0500	0.02049362466905242	0.02038593776524067	0.6323	0.6323	0.6323	0.6323
15	13:47:17	0	0.0500	0.02017647357442271	0.02036106400191784	0.6387	0.6387	0.6387	0.6387
16	13:47:38	0	0.0500	0.02027291906710075	0.020005883648991585	0.671	0.671	0.671	0.671
17	13:47:59	0	0.0500	0.02031309768953344	0.020236274227499962	0.7097	0.7097	0.7097	0.7097
18	13:48:20	1	0.0500	0.020490266719655176	0.020632190629839897	0.6581	0.6581	0.6581	0.6581
19	13:48:34	0	0.0500	0.020128204680481834	0.019865021109580994	0.7161	0.7161	0.7161	0.7161
20	13:48:55	1	0.0500	0.019999620902478397	0.02064993605017662	0.6452	0.6452	0.6452	0.6452
21	13:49:09	2	0.0500	0.019865201260661873	0.021618273109197617	0.6387	0.6387	0.6387	0.6387
22	13:49:22	3	0.0500	0.020013692711893807	0.019372928887605667	0.6968	0.6968	0.6968	0.6968
23	13:49:36	4	0.0500	0.019528355216774596	0.019825322553515434	0.6645	0.6645	0.6645	0.6645
24	13:49:50	5	0.0500	0.019675535643947955	0.01923607476055622	0.6839	0.6839	0.6839	0.6839
25	13:50:04	6	0.0500	0.019775158581935667	0.019147051498293877	0.7097	0.7097	0.7097	0.7097
26	13:50:17	1	0.0250	0.019260365331421118	0.019519153982400894	0.671	0.671	0.671	0.671
27	13:50:31	2	0.0250	0.01942375111905089	0.01912464015185833	0.6968	0.6968	0.6968	0.6968
28	13:50:45	3	0.0250	0.01917325260822326	0.018852174282073975	0.7097	0.7097	0.7097	0.7097
29	13:50:59	4	0.0250	0.019244103596866003	0.018713589757680893	0.7097	0.7097	0.7097	0.7097
30	13:51:12	5	0.0250	0.0190324801296445	0.019429555162787437	0.671	0.671	0.671	0.671
31	13:51:26	6	0.0250	0.018481363453457703	0.01960378885269165	0.671	0.671	0.671	0.671
32	13:51:40	0	0.0125	0.01908512720510588	0.018325088545680046	0.729	0.729	0.729	0.729
33	13:52:01	1	0.0125	0.018947421691439943	0.01843332126736641	0.7226	0.7226	0.7226	0.7226
34	13:52:15	2	0.0125	0.019013151943640835	0.01849985308945179	0.7226	0.7226	0.7226	0.7226
