EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:24:57	0	0.1000	0.02373564127787188	0.0218342375010252	0.6194	0.6194	0.6194	0.6194
2	01:24:59	0	0.1000	0.021456588067686654	0.021613815799355507	0.6258	0.6258	0.6258	0.6258
3	01:25:01	0	0.1000	0.02150814668445902	0.021295864135026932	0.6645	0.6645	0.6645	0.6645
4	01:25:03	1	0.1000	0.021248838281939547	0.0210924930870533	0.6516	0.6516	0.6516	0.6516
5	01:25:05	2	0.1000	0.021185272602579703	0.02106647379696369	0.6581	0.6581	0.6581	0.6581
6	01:25:07	0	0.1000	0.021092456232619988	0.02076471783220768	0.6774	0.6774	0.6774	0.6774
7	01:25:08	1	0.1000	0.020806724209624577	0.02064410224556923	0.671	0.671	0.671	0.671
8	01:25:10	2	0.1000	0.020767236068277847	0.021659251302480698	0.5742	0.5742	0.5742	0.5742
9	01:25:12	3	0.1000	0.02059306489933504	0.022826114669442177	0.4774	0.4774	0.4774	0.4774
10	01:25:13	4	0.1000	0.02007895044859416	0.020373638719320297	0.6645	0.6645	0.6645	0.6645
11	01:25:15	5	0.1000	0.020372509485684278	0.02187451161444187	0.5097	0.5097	0.5097	0.5097
12	01:25:16	6	0.1000	0.020059575195031806	0.02012685127556324	0.6645	0.6645	0.6645	0.6645
13	01:25:18	0	0.0500	0.019824933552177192	0.019823092967271805	0.6903	0.6903	0.6903	0.6903
14	01:25:20	1	0.0500	0.01961597624821194	0.019761180505156517	0.6839	0.6839	0.6839	0.6839
15	01:25:22	2	0.0500	0.01941503970552843	0.020139284431934357	0.6645	0.6645	0.6645	0.6645
16	01:25:23	3	0.0500	0.019439755907524257	0.019964193925261497	0.6645	0.6645	0.6645	0.6645
17	01:25:25	4	0.0500	0.019206755596018487	0.019599031656980515	0.6839	0.6839	0.6839	0.6839
18	01:25:26	5	0.0500	0.019404234363291646	0.019634095951914787	0.6839	0.6839	0.6839	0.6839
19	01:25:28	6	0.0500	0.01912572072806841	0.019793609157204628	0.671	0.671	0.671	0.671
20	01:25:29	0	0.0250	0.018913989347771443	0.019442416727542877	0.6903	0.6903	0.6903	0.6903
21	01:25:31	1	0.0250	0.01878646854779229	0.020549703389406204	0.6516	0.6516	0.6516	0.6516
22	01:25:33	2	0.0250	0.019142263691286687	0.01962866261601448	0.671	0.671	0.671	0.671
23	01:25:34	3	0.0250	0.018520478669979207	0.01966431550681591	0.6645	0.6645	0.6645	0.6645
24	01:25:36	4	0.0250	0.019013401850983127	0.019971312955021858	0.6516	0.6516	0.6516	0.6516
25	01:25:37	0	0.0250	0.018958300073970074	0.01937795989215374	0.6903	0.6903	0.6903	0.6903
26	01:25:39	0	0.0250	0.018931859637539076	0.019327934831380844	0.6968	0.6968	0.6968	0.6968
27	01:25:41	1	0.0250	0.01896192273559625	0.019705571234226227	0.6516	0.6516	0.6516	0.6516
28	01:25:42	0	0.0250	0.01881674424145432	0.01927887834608555	0.6968	0.6968	0.6968	0.6968
29	01:25:44	1	0.0250	0.018384028726229972	0.02009783312678337	0.6452	0.6452	0.6452	0.6452
30	01:25:45	2	0.0250	0.018508817618131123	0.019623927772045135	0.6581	0.6581	0.6581	0.6581
31	01:25:47	0	0.0250	0.018591767686438578	0.019435569643974304	0.7097	0.7097	0.7097	0.7097
32	01:25:49	1	0.0250	0.018710690933598603	0.01924458146095276	0.7032	0.7032	0.7032	0.7032
33	01:25:50	2	0.0250	0.018541960603285418	0.019434401765465736	0.671	0.671	0.671	0.671
34	01:25:52	3	0.0250	0.018502348246372438	0.020142216235399246	0.6387	0.6387	0.6387	0.6387
35	01:25:53	4	0.0250	0.018586137165547443	0.019541770219802856	0.6645	0.6645	0.6645	0.6645
36	01:25:55	5	0.0250	0.01853568955710357	0.019536780193448067	0.6645	0.6645	0.6645	0.6645
37	01:25:56	6	0.0250	0.01858267648050619	0.01976596564054489	0.6839	0.6839	0.6839	0.6839
38	01:25:58	1	0.0125	0.018404617531215726	0.019691860303282738	0.6645	0.6645	0.6645	0.6645
39	01:25:59	2	0.0125	0.018593974898208927	0.019587036222219467	0.671	0.671	0.671	0.671
40	01:26:01	3	0.0125	0.018019486226713753	0.0192833561450243	0.6968	0.6968	0.6968	0.6968
41	01:26:03	4	0.0125	0.01839564249657592	0.019301997497677803	0.6903	0.6903	0.6903	0.6903
42	01:26:04	5	0.0125	0.018525950936901424	0.019598184153437614	0.671	0.671	0.671	0.671
43	01:26:06	6	0.0125	0.018267154907546965	0.020370230078697205	0.6516	0.6516	0.6516	0.6516
44	01:26:07	1	0.0063	0.01823829359402352	0.019548511132597923	0.6645	0.6645	0.6645	0.6645
45	01:26:09	2	0.0063	0.018260369862229894	0.019650237634778023	0.6645	0.6645	0.6645	0.6645
46	01:26:10	3	0.0063	0.018413316471835136	0.019380515441298485	0.6774	0.6774	0.6774	0.6774
47	01:26:12	4	0.0063	0.018211630699194684	0.01942887343466282	0.6774	0.6774	0.6774	0.6774
48	01:26:13	5	0.0063	0.01813971653997855	0.019704138860106468	0.6645	0.6645	0.6645	0.6645
49	01:26:15	6	0.0063	0.018145948455903654	0.019407032057642937	0.6774	0.6774	0.6774	0.6774
50	01:26:17	1	0.0031	0.01800766229971826	0.019530611112713814	0.6645	0.6645	0.6645	0.6645
51	01:26:18	2	0.0031	0.01820995060129296	0.01960291899740696	0.6645	0.6645	0.6645	0.6645
52	01:26:20	3	0.0031	0.018328732560199536	0.019424282014369965	0.6774	0.6774	0.6774	0.6774
53	01:26:21	4	0.0031	0.018335201461282636	0.01965213008224964	0.6645	0.6645	0.6645	0.6645
54	01:26:23	5	0.0031	0.01814251316594975	0.01967419870197773	0.6645	0.6645	0.6645	0.6645
55	01:26:24	6	0.0031	0.01798538492467022	0.019510827958583832	0.6645	0.6645	0.6645	0.6645
56	01:26:26	1	0.0016	0.01814902566870767	0.01950516551733017	0.671	0.671	0.671	0.671
57	01:26:27	2	0.0016	0.018323010856610616	0.019532205536961555	0.671	0.671	0.671	0.671
58	01:26:29	3	0.0016	0.01818346801800259	0.019559133797883987	0.6645	0.6645	0.6645	0.6645
59	01:26:30	4	0.0016	0.018271973085163824	0.01956087350845337	0.671	0.671	0.671	0.671
60	01:26:32	5	0.0016	0.01795581915955362	0.01946662738919258	0.6839	0.6839	0.6839	0.6839
61	01:26:33	6	0.0016	0.017777262064337475	0.019502276554703712	0.671	0.671	0.671	0.671
62	01:26:35	1	0.0008	0.017872673161835953	0.019506605342030525	0.671	0.671	0.671	0.671
63	01:26:37	2	0.0008	0.017970211413466324	0.019524820148944855	0.671	0.671	0.671	0.671
64	01:26:38	3	0.0008	0.017879215274367158	0.019509263336658478	0.6774	0.6774	0.6774	0.6774
65	01:26:40	4	0.0008	0.017967655195748302	0.019596533849835396	0.671	0.671	0.671	0.671
66	01:26:41	5	0.0008	0.017957606293362675	0.019593611359596252	0.671	0.671	0.671	0.671
67	01:26:43	6	0.0008	0.017909736361164715	0.01958634704351425	0.6645	0.6645	0.6645	0.6645
68	01:26:44	1	0.0004	0.018404285597955247	0.01958594098687172	0.6645	0.6645	0.6645	0.6645
69	01:26:46	2	0.0004	0.01810748178755219	0.019578387960791588	0.6645	0.6645	0.6645	0.6645
70	01:26:48	3	0.0004	0.018128321441231405	0.019563518464565277	0.6645	0.6645	0.6645	0.6645
71	01:26:49	4	0.0004	0.017820055589176133	0.019566943868994713	0.6645	0.6645	0.6645	0.6645
72	01:26:51	5	0.0004	0.017798695732001685	0.019552083685994148	0.6645	0.6645	0.6645	0.6645
73	01:26:52	6	0.0004	0.018053798198871106	0.019580310210585594	0.6645	0.6645	0.6645	0.6645
74	01:26:54	1	0.0002	0.018149852945234652	0.019575705751776695	0.6645	0.6645	0.6645	0.6645
75	01:26:55	2	0.0002	0.017992650358606737	0.019574899226427078	0.6645	0.6645	0.6645	0.6645
76	01:26:57	3	0.0002	0.018155211287270497	0.019570067524909973	0.6645	0.6645	0.6645	0.6645
77	01:26:58	4	0.0002	0.017988186535523764	0.01957187056541443	0.6645	0.6645	0.6645	0.6645
78	01:27:00	5	0.0002	0.018067252246578736	0.01956827938556671	0.6645	0.6645	0.6645	0.6645
79	01:27:01	6	0.0002	0.018055932926601074	0.019564103335142136	0.6645	0.6645	0.6645	0.6645
