EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	05:15:29	0	0.1000	0.02791294419157873	0.024483488872647285	0.6387	0.6387	0.6387	0.6387
2	05:15:40	0	0.1000	0.023286802256954547	0.022595005109906197	0.6387	0.6387	0.6387	0.6387
3	05:15:49	0	0.1000	0.021851264608907597	0.02161598764359951	0.6452	0.6452	0.6452	0.6452
4	05:16:00	0	0.1000	0.020993628736374108	0.02099086344242096	0.6516	0.6516	0.6516	0.6516
5	05:16:10	0	0.1000	0.02038805478781312	0.02047939971089363	0.6645	0.6645	0.6645	0.6645
6	05:16:21	0	0.1000	0.019976903702488752	0.02024189382791519	0.729	0.729	0.729	0.729
7	05:16:31	0	0.1000	0.019572787591218093	0.019842414185404778	0.729	0.729	0.729	0.729
8	05:16:41	0	0.1000	0.019181085462974114	0.019525373354554176	0.729	0.729	0.729	0.729
9	05:16:51	1	0.1000	0.01890663504172638	0.01931549422442913	0.7226	0.7226	0.7226	0.7226
10	05:17:01	2	0.1000	0.01866731285107538	0.01909809000790119	0.7226	0.7226	0.7226	0.7226
11	05:17:11	3	0.1000	0.018377361799090865	0.018887436017394066	0.7226	0.7226	0.7226	0.7226
12	05:17:20	0	0.1000	0.01821064356412292	0.018759462982416153	0.729	0.729	0.729	0.729
13	05:17:30	0	0.1000	0.01797348126095144	0.018620118498802185	0.7355	0.7355	0.7355	0.7355
14	05:17:41	0	0.1000	0.017805057105107523	0.0185026116669178	0.7419	0.7419	0.7419	0.7419
15	05:17:52	0	0.1000	0.017620111915248808	0.01834351196885109	0.7419	0.7419	0.7419	0.7419
16	05:18:02	0	0.1000	0.01747525489253272	0.018289662897586823	0.7548	0.7548	0.7548	0.7548
17	05:18:12	0	0.1000	0.017337916334669794	0.018169794231653214	0.7742	0.7742	0.7742	0.7742
18	05:18:23	0	0.1000	0.017189220931148323	0.01816048100590706	0.7806	0.7806	0.7806	0.7806
19	05:18:33	1	0.1000	0.0170418855661295	0.01796313188970089	0.7742	0.7742	0.7742	0.7742
20	05:18:43	2	0.1000	0.016923009857203748	0.017922060564160347	0.7677	0.7677	0.7677	0.7677
21	05:18:53	3	0.1000	0.016798795317884665	0.017889173701405525	0.7742	0.7742	0.7742	0.7742
22	05:19:02	4	0.1000	0.01669848121419196	0.01773107796907425	0.7677	0.7677	0.7677	0.7677
23	05:19:12	5	0.1000	0.01657250921502014	0.017668727785348892	0.7742	0.7742	0.7742	0.7742
24	05:19:23	6	0.1000	0.016529450828192137	0.017636770382523537	0.7677	0.7677	0.7677	0.7677
25	05:19:33	1	0.0500	0.016398249837193485	0.017585165798664093	0.7677	0.7677	0.7677	0.7677
26	05:19:42	2	0.0500	0.01634821682975862	0.017554180696606636	0.7677	0.7677	0.7677	0.7677
27	05:19:52	3	0.0500	0.016339481925245505	0.017526589334011078	0.7677	0.7677	0.7677	0.7677
28	05:20:02	4	0.0500	0.01629737520166549	0.017511112615466118	0.7677	0.7677	0.7677	0.7677
29	05:20:13	5	0.0500	0.01620928758096113	0.01745474524796009	0.7677	0.7677	0.7677	0.7677
30	05:20:22	6	0.0500	0.01617789369047073	0.017424240708351135	0.7677	0.7677	0.7677	0.7677
31	05:20:32	1	0.0250	0.016106018169441415	0.017410365864634514	0.7677	0.7677	0.7677	0.7677
32	05:20:42	2	0.0250	0.01610567633059927	0.017398938536643982	0.7677	0.7677	0.7677	0.7677
33	05:20:53	3	0.0250	0.016093313351690727	0.017388464882969856	0.7677	0.7677	0.7677	0.7677
34	05:21:03	4	0.0250	0.01606896692955143	0.017383603379130363	0.7677	0.7677	0.7677	0.7677
35	05:21:12	5	0.0250	0.016069484950823484	0.017374729737639427	0.7677	0.7677	0.7677	0.7677
36	05:21:22	6	0.0250	0.016017214522803334	0.017357688397169113	0.7677	0.7677	0.7677	0.7677
37	05:21:33	1	0.0125	0.01601164155269987	0.017351754009723663	0.7677	0.7677	0.7677	0.7677
38	05:21:43	2	0.0125	0.015988072151771487	0.017346346750855446	0.7677	0.7677	0.7677	0.7677
39	05:21:53	3	0.0125	0.01601709178344688	0.01734217256307602	0.7548	0.7548	0.7548	0.7548
40	05:22:02	4	0.0125	0.01600516159074048	0.017336977645754814	0.7548	0.7548	0.7548	0.7548
41	05:22:12	5	0.0125	0.015967275072838537	0.017331302165985107	0.7548	0.7548	0.7548	0.7548
42	05:22:22	6	0.0125	0.01599604764261951	0.01732505112886429	0.7548	0.7548	0.7548	0.7548
43	05:22:31	1	0.0063	0.015986647994417298	0.017321700230240822	0.7548	0.7548	0.7548	0.7548
44	05:22:41	2	0.0063	0.015977485545316535	0.01731981709599495	0.7548	0.7548	0.7548	0.7548
45	05:22:51	3	0.0063	0.015929472420768438	0.01731674000620842	0.7548	0.7548	0.7548	0.7548
46	05:23:01	4	0.0063	0.015975512772777145	0.017314152792096138	0.7548	0.7548	0.7548	0.7548
47	05:23:11	5	0.0063	0.015963649822496633	0.017311474308371544	0.7548	0.7548	0.7548	0.7548
48	05:23:21	6	0.0063	0.015907552053153043	0.017307886853814125	0.7548	0.7548	0.7548	0.7548
49	05:23:31	1	0.0031	0.015914775789511434	0.017306508496403694	0.7548	0.7548	0.7548	0.7548
50	05:23:41	2	0.0031	0.015961429046711644	0.01730530895292759	0.7548	0.7548	0.7548	0.7548
51	05:23:51	3	0.0031	0.015970195208362598	0.01730434224009514	0.7548	0.7548	0.7548	0.7548
52	05:24:01	4	0.0031	0.015925204505701333	0.017302915453910828	0.7548	0.7548	0.7548	0.7548
53	05:24:11	5	0.0031	0.0159173037452999	0.017301509156823158	0.7548	0.7548	0.7548	0.7548
54	05:24:21	6	0.0031	0.01595409714054565	0.017300520092248917	0.7548	0.7548	0.7548	0.7548
