EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:57:24	0	0.1000	0.05251332195388783	0.056871332228183746	0.6452	0.6452	0.6452	0.6452
2	21:57:35	1	0.1000	0.04068465219584627	0.035383906215429306	0.6065	0.6065	0.6065	0.6065
3	21:57:44	2	0.1000	0.036061682743043756	0.03484781086444855	0.5806	0.5806	0.5806	0.5806
4	21:57:55	3	0.1000	0.04076601687901669	0.040606264024972916	0.5871	0.5871	0.5871	0.5871
5	21:58:05	0	0.1000	0.034889349536081055	0.053204912692308426	0.6645	0.6645	0.6645	0.6645
6	21:58:15	0	0.1000	0.035609941001599074	0.029429638758301735	0.7419	0.7419	0.7419	0.7419
7	21:58:26	1	0.1000	0.034901611169978	0.024786220863461494	0.6839	0.6839	0.6839	0.6839
8	21:58:36	2	0.1000	0.03451516419884462	0.031230123713612556	0.6516	0.6516	0.6516	0.6516
9	21:58:46	3	0.1000	0.03257852777763827	0.03738230839371681	0.6903	0.6903	0.6903	0.6903
10	21:58:56	4	0.1000	0.03327143496090957	0.04119313508272171	0.6903	0.6903	0.6903	0.6903
11	21:59:06	5	0.1000	0.030255970493632944	0.045278165489435196	0.6	0.6	0.6	0.6
12	21:59:16	6	0.1000	0.03490940106488438	0.05707067623734474	0.6645	0.6645	0.6645	0.6645
13	21:59:25	1	0.0500	0.01787900915055162	0.021230466663837433	0.7032	0.7032	0.7032	0.7032
14	21:59:36	2	0.0500	0.016713352016810453	0.022902285680174828	0.6839	0.6839	0.6839	0.6839
15	21:59:45	3	0.0500	0.016844971973264466	0.022905422374606133	0.6903	0.6903	0.6903	0.6903
16	21:59:55	4	0.0500	0.015334108078214477	0.0198858343064785	0.7032	0.7032	0.7032	0.7032
17	22:00:06	5	0.0500	0.015308755062846768	0.027102217078208923	0.6968	0.6968	0.6968	0.6968
18	22:00:16	6	0.0500	0.014946447544960521	0.02340671978890896	0.7226	0.7226	0.7226	0.7226
19	22:00:26	1	0.0250	0.01250424745779455	0.018761195242404938	0.6968	0.6968	0.6968	0.6968
20	22:00:36	2	0.0250	0.012232708453875347	0.023934977129101753	0.6645	0.6645	0.6645	0.6645
21	22:00:46	3	0.0250	0.01229050520163	0.018712647259235382	0.7032	0.7032	0.7032	0.7032
22	22:00:56	4	0.0250	0.012363364252783973	0.019056156277656555	0.7032	0.7032	0.7032	0.7032
23	22:01:06	5	0.0250	0.011830096771540783	0.020132355391979218	0.729	0.729	0.729	0.729
24	22:01:16	6	0.0250	0.01207331104280276	0.018294883891940117	0.7226	0.7226	0.7226	0.7226
25	22:01:25	1	0.0125	0.011722337863724265	0.018196778371930122	0.7161	0.7161	0.7161	0.7161
26	22:01:35	2	0.0125	0.011787092587285476	0.018217509612441063	0.7032	0.7032	0.7032	0.7032
27	22:01:45	3	0.0125	0.011674237011665076	0.018212536349892616	0.7161	0.7161	0.7161	0.7161
28	22:01:55	4	0.0125	0.011574819908669246	0.018485594540834427	0.6968	0.6968	0.6968	0.6968
29	22:02:05	5	0.0125	0.011625456461269737	0.01817851886153221	0.7097	0.7097	0.7097	0.7097
30	22:02:15	6	0.0125	0.011604432473915221	0.018167968839406967	0.7097	0.7097	0.7097	0.7097
31	22:02:25	1	0.0063	0.011405732014670444	0.01817421242594719	0.7097	0.7097	0.7097	0.7097
32	22:02:35	2	0.0063	0.011385849790015156	0.018154960125684738	0.7161	0.7161	0.7161	0.7161
33	22:02:45	3	0.0063	0.011363910552587599	0.018310246989130974	0.6968	0.6968	0.6968	0.6968
34	22:02:54	4	0.0063	0.011434268690405008	0.018131079152226448	0.7032	0.7032	0.7032	0.7032
35	22:03:04	5	0.0063	0.011440909452260353	0.018126552924513817	0.7161	0.7161	0.7161	0.7161
36	22:03:14	6	0.0063	0.011351573022252266	0.01827319897711277	0.6968	0.6968	0.6968	0.6968
37	22:03:24	1	0.0031	0.011228431002835276	0.018163572996854782	0.7161	0.7161	0.7161	0.7161
38	22:03:34	2	0.0031	0.011216282780360423	0.018004294484853745	0.7032	0.7032	0.7032	0.7032
39	22:03:44	3	0.0031	0.01126504144434097	0.018072787672281265	0.7161	0.7161	0.7161	0.7161
40	22:03:54	4	0.0031	0.011237830330122314	0.01808333769440651	0.7226	0.7226	0.7226	0.7226
41	22:04:03	5	0.0031	0.011221512157285462	0.018305808305740356	0.7032	0.7032	0.7032	0.7032
42	22:04:13	6	0.0031	0.011215847277076486	0.01805165410041809	0.7226	0.7226	0.7226	0.7226
43	22:04:24	1	0.0016	0.011271539291972662	0.018022116273641586	0.7161	0.7161	0.7161	0.7161
44	22:04:33	2	0.0016	0.011141261349285753	0.01818213053047657	0.7032	0.7032	0.7032	0.7032
45	22:04:43	3	0.0016	0.01119773593722533	0.018106933683156967	0.7226	0.7226	0.7226	0.7226
46	22:04:53	4	0.0016	0.011178324559311685	0.018168868497014046	0.7097	0.7097	0.7097	0.7097
47	22:05:04	5	0.0016	0.011166429121718505	0.018046842887997627	0.7226	0.7226	0.7226	0.7226
48	22:05:14	6	0.0016	0.011153088046848902	0.018221084028482437	0.6968	0.6968	0.6968	0.6968
49	22:05:24	1	0.0008	0.011231091742625102	0.018107367679476738	0.7226	0.7226	0.7226	0.7226
50	22:05:34	2	0.0008	0.011203573951170073	0.018084576353430748	0.7226	0.7226	0.7226	0.7226
51	22:05:44	3	0.0008	0.011284605716940146	0.018081890419125557	0.7226	0.7226	0.7226	0.7226
52	22:05:54	4	0.0008	0.011216194453807674	0.018135681748390198	0.7161	0.7161	0.7161	0.7161
