EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	22:58:51	0	0.1000	0.038901001632170806	0.06965424865484238	0.6581	0.6581	0.6581	0.6581
2	22:59:01	0	0.1000	0.038469497111745646	0.01887001283466816	0.7742	0.7742	0.7742	0.7742
3	22:59:12	1	0.1000	0.03440772975766222	0.02033155970275402	0.7613	0.7613	0.7613	0.7613
4	22:59:21	2	0.1000	0.03105298228085854	0.048333898186683655	0.5806	0.5806	0.5806	0.5806
5	22:59:31	3	0.1000	0.03270199445623848	0.02179584465920925	0.729	0.729	0.729	0.729
6	22:59:40	4	0.1000	0.0266788690020006	0.026992835104465485	0.729	0.729	0.729	0.729
7	22:59:50	5	0.1000	0.026575198500000653	0.03279973194003105	0.7032	0.7032	0.7032	0.7032
8	22:59:59	6	0.1000	0.02570741990018216	0.021517058834433556	0.7613	0.7613	0.7613	0.7613
9	23:00:09	1	0.0500	0.013660075847655856	0.017686670646071434	0.7548	0.7548	0.7548	0.7548
10	23:00:18	2	0.0500	0.012868060506425654	0.018486279994249344	0.7677	0.7677	0.7677	0.7677
11	23:00:28	3	0.0500	0.011902791300182795	0.01918894238770008	0.7484	0.7484	0.7484	0.7484
12	23:00:37	4	0.0500	0.012115226800460569	0.01875094138085842	0.7419	0.7419	0.7419	0.7419
13	23:00:47	5	0.0500	0.012107511946218782	0.027319956570863724	0.6839	0.6839	0.6839	0.6839
14	23:00:56	6	0.0500	0.011696533074673353	0.025333121418952942	0.7032	0.7032	0.7032	0.7032
15	23:01:06	0	0.0250	0.010333905567475899	0.016185618937015533	0.7871	0.7871	0.7871	0.7871
16	23:01:16	1	0.0250	0.010140456852943711	0.01607298105955124	0.7806	0.7806	0.7806	0.7806
17	23:01:25	2	0.0250	0.010109993825049512	0.016770699992775917	0.7677	0.7677	0.7677	0.7677
18	23:01:35	3	0.0250	0.010083024450881996	0.016018563881516457	0.7806	0.7806	0.7806	0.7806
19	23:01:45	4	0.0250	0.00996036072343866	0.015881894156336784	0.7677	0.7677	0.7677	0.7677
20	23:01:54	5	0.0250	0.009949398025795444	0.018231084570288658	0.7355	0.7355	0.7355	0.7355
21	23:02:03	6	0.0250	0.010081080282581683	0.016050666570663452	0.7806	0.7806	0.7806	0.7806
22	23:02:13	1	0.0125	0.009431192719585504	0.01558536384254694	0.7677	0.7677	0.7677	0.7677
23	23:02:23	2	0.0125	0.009462070824512885	0.015562383458018303	0.7806	0.7806	0.7806	0.7806
24	23:02:33	0	0.0125	0.009394890666863769	0.015458866953849792	0.7935	0.7935	0.7935	0.7935
25	23:02:44	1	0.0125	0.009338993779721229	0.015457694418728352	0.7677	0.7677	0.7677	0.7677
26	23:02:54	2	0.0125	0.009370298573462466	0.015615995042026043	0.7742	0.7742	0.7742	0.7742
27	23:03:04	3	0.0125	0.009216639810299925	0.01614721305668354	0.7677	0.7677	0.7677	0.7677
28	23:03:14	4	0.0125	0.009395413362800177	0.015588443726301193	0.7742	0.7742	0.7742	0.7742
29	23:03:24	5	0.0125	0.00927051395841066	0.01570047251880169	0.7742	0.7742	0.7742	0.7742
30	23:03:34	6	0.0125	0.009265641021968132	0.015623170882463455	0.7742	0.7742	0.7742	0.7742
31	23:03:44	1	0.0063	0.009066668555022826	0.015494235791265965	0.7871	0.7871	0.7871	0.7871
32	23:03:53	2	0.0063	0.009119637647465845	0.01537218689918518	0.7806	0.7806	0.7806	0.7806
33	23:04:04	3	0.0063	0.00905395282615626	0.015400429256260395	0.7806	0.7806	0.7806	0.7806
34	23:04:14	4	0.0063	0.009095337565477512	0.016009213402867317	0.7677	0.7677	0.7677	0.7677
35	23:04:24	5	0.0063	0.009003671387588901	0.015918204560875893	0.7742	0.7742	0.7742	0.7742
36	23:04:33	6	0.0063	0.008996809376116202	0.015538766048848629	0.7742	0.7742	0.7742	0.7742
37	23:04:43	1	0.0031	0.008981542371625278	0.015470446087419987	0.7806	0.7806	0.7806	0.7806
38	23:04:53	2	0.0031	0.008929636230463615	0.015581400133669376	0.7806	0.7806	0.7806	0.7806
39	23:05:03	3	0.0031	0.008847791554469131	0.015469335950911045	0.7806	0.7806	0.7806	0.7806
40	23:05:13	4	0.0031	0.008928707967280314	0.01547717209905386	0.7742	0.7742	0.7742	0.7742
41	23:05:23	5	0.0031	0.008918648485391156	0.015450457111001015	0.7806	0.7806	0.7806	0.7806
42	23:05:33	6	0.0031	0.00889742638640325	0.015487468801438808	0.7806	0.7806	0.7806	0.7806
43	23:05:43	1	0.0016	0.00884327412250653	0.015546104870736599	0.7806	0.7806	0.7806	0.7806
44	23:05:53	2	0.0016	0.008794455249490964	0.015484177507460117	0.7742	0.7742	0.7742	0.7742
45	23:06:03	3	0.0016	0.008854086717426221	0.015448429621756077	0.7806	0.7806	0.7806	0.7806
46	23:06:13	4	0.0016	0.008876312221885155	0.015509134158492088	0.7806	0.7806	0.7806	0.7806
47	23:06:23	5	0.0016	0.008798174993305522	0.015553457662463188	0.7871	0.7871	0.7871	0.7871
48	23:06:33	6	0.0016	0.008816581361172273	0.015470332466065884	0.7742	0.7742	0.7742	0.7742
49	23:06:43	1	0.0008	0.008770154980302114	0.015507236123085022	0.7806	0.7806	0.7806	0.7806
50	23:06:53	2	0.0008	0.008776511860595533	0.01548070553690195	0.7742	0.7742	0.7742	0.7742
51	23:07:02	3	0.0008	0.008764378689042288	0.015486038289964199	0.7742	0.7742	0.7742	0.7742
52	23:07:12	4	0.0008	0.008822491901946086	0.015478212386369705	0.7742	0.7742	0.7742	0.7742
53	23:07:22	5	0.0008	0.008884849870538678	0.01547697838395834	0.7742	0.7742	0.7742	0.7742
54	23:07:32	6	0.0008	0.008801261159642857	0.015468883328139782	0.7742	0.7742	0.7742	0.7742
55	23:07:42	1	0.0004	0.008802047000672436	0.015475106425583363	0.7742	0.7742	0.7742	0.7742
56	23:07:52	2	0.0004	0.00876085615295005	0.015482822433114052	0.7742	0.7742	0.7742	0.7742
